Instance,Number of O-rings,Launch Temperature,Leak Check Pressure,Temporal order of flight,Number of O-rings with Stress
1,6,66,50,1,0
2,6,70,50,2,1
3,6,69,50,3,0
4,6,68,50,4,0
5,6,67,50,5,0
6,6,72,50,6,0
7,6,73,50,7,0
8,6,70,100,8,0
9,6,57,100,9,1
10,6,63,200,10,1
11,6,70,200,11,1
12,6,78,200,12,0
13,6,67,200,13,0
14,6,53,200,14,2
15,6,67,200,15,0
16,6,75,200,16,0
17,6,70,200,17,0
18,6,81,200,18,0
19,6,76,200,19,0
20,6,79,200,20,0
21,6,75,200,21,0
22,6,76,200,22,0
23,6,58,200,23,1
